SA_step,Mu,Sigma
618,0.79116,0.62231
619,0.79116,0.62231
620,0.79116,0.62231
621,0.79116,0.62231
622,0.79116,0.62231
623,0.79116,0.62231
624,0.79116,0.62231
625,0.79116,0.62231
626,0.79116,0.62231
627,0.79116,0.62231
628,0.79116,0.62231
629,0.79116,0.62231
630,0.79116,0.62231
631,0.79116,0.62231
632,0.79116,0.62231
633,0.79116,0.62231
634,0.79116,0.62231
635,0.79116,0.62231
636,0.79116,0.62231
637,0.79116,0.62231
638,0.79116,0.62231
639,0.79116,0.62231
640,0.79116,0.62231
641,0.79116,0.62231
642,0.79116,0.62231
643,0.79116,0.62231
644,0.79116,0.62231
645,0.79116,0.62231
646,0.79116,0.62231
647,0.79116,0.62231
648,0.79116,0.62231
649,0.79116,0.62231
650,0.79116,0.62231
651,0.79116,0.62231
652,0.79116,0.62231
653,0.79116,0.62231
654,0.79116,0.62231
655,0.79116,0.62231
656,0.79116,0.62231
657,0.79116,0.62231
658,0.79116,0.62231
659,0.79116,0.62231
660,0.79116,0.62231
661,0.79116,0.62231
662,0.79116,0.62231
663,0.79116,0.62231
664,0.79116,0.62231
665,0.79116,0.62231
666,0.79116,0.62231
667,0.79116,0.62231
668,0.79116,0.62231
669,0.79116,0.62231
670,0.79116,0.62231
671,0.79116,0.62231
672,0.79116,0.62231
673,0.79116,0.62231
674,0.79116,0.62231
675,0.79116,0.62231
676,0.79116,0.62231
677,0.79116,0.62231
678,0.79116,0.62231
679,0.79116,0.62231
680,0.79116,0.62231
681,0.79116,0.62231
682,0.79116,0.62231
683,0.79116,0.62231
684,0.79116,0.62231
685,0.79116,0.62231
686,0.79116,0.62231
687,0.79116,0.62231
688,0.79116,0.62231
689,0.79116,0.62231
690,0.79116,0.62231
691,0.79116,0.62231
692,0.79116,0.62231
693,0.79116,0.62231
694,0.79116,0.62231
695,0.79116,0.62231
696,0.79116,0.62231
697,0.79116,0.62231
698,0.79116,0.62231
699,0.79116,0.62231
700,0.79116,0.62231
701,0.79116,0.62231
702,0.79116,0.62231
703,0.79116,0.62231
704,0.79116,0.62231
705,0.79116,0.62231
706,0.79116,0.62231
707,0.79116,0.62231
708,0.79116,0.62231
709,0.79116,0.62231
710,0.79116,0.62231
711,0.79116,0.62231
712,0.79116,0.62231
713,0.79116,0.62231
714,0.79116,0.62231
715,0.79116,0.62231
716,0.79116,0.62231
717,0.79116,0.62231
718,0.79116,0.62231
719,0.79116,0.62231
720,0.79116,0.62231
721,0.79116,0.62231
722,0.79116,0.62231
723,0.79116,0.62231
724,0.79116,0.62231
725,0.79116,0.62231
726,0.79116,0.62231
727,0.79116,0.62231
728,0.79116,0.62231
729,0.79116,0.62231
730,0.79116,0.62231
731,0.79116,0.62231
732,0.79116,0.62231
733,0.79116,0.62231
734,0.79116,0.62231
735,0.79116,0.62231
736,0.79116,0.62231
737,0.79116,0.62231
738,0.79116,0.62231
739,0.79116,0.62231
740,0.79116,0.62231
741,0.79116,0.62231
742,0.79116,0.62231
743,0.79116,0.62231
744,0.79116,0.62231
745,0.79116,0.62231
746,0.79116,0.62231
747,0.79116,0.62231
748,0.79116,0.62231
749,0.79116,0.62231
750,0.79116,0.62231
751,0.79116,0.62231
752,0.79116,0.62231
753,0.79116,0.62231
754,0.79116,0.62231
755,0.79116,0.62231
756,0.79116,0.62231
757,0.79116,0.62231
758,0.79116,0.62231
759,0.79116,0.62231
760,0.79116,0.62231
761,0.79116,0.62231
762,0.79116,0.62231
763,0.79116,0.62231
764,0.79116,0.62231
765,0.79116,0.62231
766,0.79116,0.62231
767,0.79116,0.62231
768,0.79116,0.62231
769,0.79116,0.62231
770,0.79116,0.62231
771,0.79116,0.62231
772,0.79116,0.62231
773,0.79116,0.62231
774,0.79116,0.62231
775,0.79116,0.62231
776,0.79116,0.62231
777,0.79116,0.62231
778,0.79116,0.62231
779,0.79116,0.62231
780,0.79116,0.62231
781,0.79116,0.62231
782,0.79116,0.62231
783,0.79116,0.62231
784,0.79116,0.62231
785,0.79116,0.62231
786,0.79116,0.62231
787,0.79116,0.62231
788,0.79116,0.62231
789,0.79116,0.62231
790,0.79116,0.62231
791,0.79116,0.62231
792,0.79116,0.62231
793,0.79116,0.62231
794,0.79116,0.62231
795,0.79116,0.62231
796,0.79116,0.62231
797,0.79116,0.62231
798,0.79116,0.62231
799,0.79116,0.62231
800,0.79116,0.62231
801,0.79116,0.62231
802,0.79116,0.62231
803,0.79116,0.62231
804,0.79116,0.62231
805,0.79116,0.62231
806,0.79116,0.62231
807,0.79116,0.62231
808,0.79116,0.62231
809,0.79116,0.62231
810,0.79116,0.62231
811,0.79116,0.62231
812,0.79116,0.62231
813,0.79116,0.62231
814,0.79116,0.62231
815,0.79116,0.62231
816,0.79116,0.62231
817,0.79116,0.62231
818,0.79116,0.62231
819,0.79116,0.62231
820,0.79116,0.62231
821,0.79116,0.62231
822,0.79116,0.62231
823,0.79116,0.62231
824,0.79116,0.62231
825,0.79116,0.62231
