SA_step,Energy,Energy_Error,Mu,Sigma
390,-0.465462,0.0442524,0.789951,0.641416
391,-0.465462,0.0442524,0.789951,0.641416
392,-0.465462,0.0442524,0.789951,0.641416
393,-0.465462,0.0442524,0.789951,0.641416
394,-0.465462,0.0442524,0.789951,0.641416
395,-0.465462,0.0442524,0.789951,0.641416
396,-0.465462,0.0442524,0.789951,0.641416
397,-0.465462,0.0442524,0.789951,0.641416
398,-0.465462,0.0442524,0.789951,0.641416
399,-0.465462,0.0442524,0.789951,0.641416
400,-0.465462,0.0442524,0.789951,0.641416
401,-0.465462,0.0442524,0.789951,0.641416
402,-0.465462,0.0442524,0.789951,0.641416
403,-0.465462,0.0442524,0.789951,0.641416
404,-0.465462,0.0442524,0.789951,0.641416
405,-0.465462,0.0442524,0.789951,0.641416
406,-0.465462,0.0442524,0.789951,0.641416
407,-0.465462,0.0442524,0.789951,0.641416
408,-0.465462,0.0442524,0.789951,0.641416
409,-0.465462,0.0442524,0.789951,0.641416
410,-0.465462,0.0442524,0.789951,0.641416
411,-0.465462,0.0442524,0.789951,0.641416
412,-0.467723,0.0444398,0.787932,0.627924
413,-0.467723,0.0444398,0.787932,0.627924
414,-0.467723,0.0444398,0.787932,0.627924
415,-0.467723,0.0444398,0.787932,0.627924
416,-0.467723,0.0444398,0.787932,0.627924
417,-0.467723,0.0444398,0.787932,0.627924
418,-0.467723,0.0444398,0.787932,0.627924
419,-0.467723,0.0444398,0.787932,0.627924
420,-0.467723,0.0444398,0.787932,0.627924
421,-0.467723,0.0444398,0.787932,0.627924
422,-0.467723,0.0444398,0.787932,0.627924
423,-0.467723,0.0444398,0.787932,0.627924
424,-0.467723,0.0444398,0.787932,0.627924
425,-0.467723,0.0444398,0.787932,0.627924
426,-0.467723,0.0444398,0.787932,0.627924
427,-0.467723,0.0444398,0.787932,0.627924
428,-0.467723,0.0444398,0.787932,0.627924
429,-0.467723,0.0444398,0.787932,0.627924
430,-0.467723,0.0444398,0.787932,0.627924
431,-0.467723,0.0444398,0.787932,0.627924
432,-0.467723,0.0444398,0.787932,0.627924
433,-0.467723,0.0444398,0.787932,0.627924
434,-0.467723,0.0444398,0.787932,0.627924
435,-0.467723,0.0444398,0.787932,0.627924
436,-0.467723,0.0444398,0.787932,0.627924
437,-0.467723,0.0444398,0.787932,0.627924
438,-0.467723,0.0444398,0.787932,0.627924
439,-0.467723,0.0444398,0.787932,0.627924
440,-0.467723,0.0444398,0.787932,0.627924
441,-0.467723,0.0444398,0.787932,0.627924
442,-0.467723,0.0444398,0.787932,0.627924
443,-0.467723,0.0444398,0.787932,0.627924
444,-0.467723,0.0444398,0.787932,0.627924
445,-0.467723,0.0444398,0.787932,0.627924
